E4B880 一
E4B999 乙
E4BA8C 二
E58D81 十
E4B881 丁
E5BBA0 廠
E4B883 七
E89494 蔔
E4BABA 人
E585A5 入
E585AB 八
E4B99D 九
E5B9BE 幾
E58592 兒
E4BA86 了
E58A9B 力
E4B983 乃
E58880 刀
E58F88 又
E4B889 三
E696BC 於
E5B9B9 幹
E899A7 虧
E5A3AB 士
E5B7A5 工
E59C9F 土
E6898D 才
E5AFB8 寸
E4B88B 下
E5A4A7 大
E4B888 丈
E88887 與
E890AC 萬
E4B88A 上
E5B08F 小
E58FA3 口
E5B7BE 巾
E5B1B1 山
E58D83 千
E4B99E 乞
E5B79D 川
E58484 億
E5808B 個
E58BBA 勺
E4B985 久
E587A1 凡
E58F8A 及
E5A495 夕
E4B8B8 丸
E9BABC 麼
E5BBA3 廣
E4BAA1 亡
E99680 門
E7BEA9 義
E4B98B 之
E5B18D 屍
E5BC93 弓
E5B7B1 己
E5B7B2 已
E5AD90 子
E8A19B 衛
E4B99F 也
E5A5B3 女
E9A39B 飛
E58883 刃
E7BF92 習
E58F89 叉
E9A6AC 馬
E98489 鄉
E8B190 豐
E78E8B 王
E4BA95 井
E9968B 開
E5A4AB 夫
E5A4A9 天
E784A1 無
E58583 元
E5B088 專
E99BB2 雲
E7B4AE 紮
E8979D 藝
E69CA8 木
E4BA94 五
E694AF 支
E5BBB3 廳
E4B88D 不
E5A4AA 太
E78AAC 犬
E58D80 區
E69B86 曆
E5B0A4 尤
E58F8B 友
E58CB9 匹
E8BB8A 車
E5B7A8 巨
E78999 牙
E5B1AF 屯
E6AF94 比
E4BA92 互
E58887 切
E793A6 瓦
E6ADA2 止
E5B091 少
E697A5 日
E4B8AD 中
E5B2A1 岡
E8B29D 貝
E585A7 內
E6B0B4 水
E8A68B 見
E58D88 午
E7899B 牛
E6898B 手
E6AF9B 毛
E6B0A3 氣
E58D87 升
E995B7 長
E4BB81 仁
E4BB80 什
E78987 片
E4BB86 仆
E58C96 化
E4BB87 仇
E5B9A3 幣
E4BB8D 仍
E58385 僅
E696A4 斤
E788AA 爪
E58F8D 反
E4BB8B 介
E788B6 父
E5BE9E 從
E4BB8A 今
E587B6 凶
E58886 分
E4B98F 乏
E585AC 公
E58089 倉
E69C88 月
E6B08F 氏
E58BBF 勿
E6ACA0 欠
E9A2A8 風
E4B8B9 丹
E58BBB 勻
E7838F 烏
E9B3B3 鳳
E58BBE 勾
E69687 文
E585AD 六
E696B9 方
E781AB 火
E782BA 為
E9ACA5 鬥
E686B6 憶
E8A882 訂
E8A888 計
E688B6 戶
E8AA8D 認
E5BF83 心
E5B0BA 尺
E5BC95 引
E9869C 醜
E5B7B4 巴
E5AD94 孔
E99A8A 隊
E8BEA6 辦
E4BBA5 以
E58581 允
E4BA88 予
E58BB8 勸
E99B99 雙
E69BB8 書
E5B9BB 幻
E78E89 玉
E5888A 刊
E7A4BA 示
E69CAB 末
E69CAA 未
E6938A 擊
E68993 打
E5B7A7 巧
E6ADA3 正
E692B2 撲
E68992 扒
E58A9F 功
E68994 扔
E58EBB 去
